query_id,intent,modality,reference_text,raw_text,clean_text,tokens,stopword_filtered_tokens,gate_number,terminal_number,service_name,location,airline,time,split
Q013,baggage_claim,text,Is baggage claim on the ground floor?,Is baggage claim on the ground floor?,is baggage claim on the ground floor,"[""is"", ""baggage"", ""claim"", ""on"", ""the"", ""ground"", ""floor""]","[""baggage"", ""claim"", ""ground"", ""floor""]",,,Baggage Claim,,,,train
Q014,baggage_claim,text,Where is the oversized baggage area?,Where is the oversized baggage area?,where is the oversized baggage area,"[""where"", ""is"", ""the"", ""oversized"", ""baggage"", ""area""]","[""where"", ""oversized"", ""baggage"", ""area""]",,,,,,,train
Q015,baggage_claim,text,How do I find baggage belt 4?,How do I find baggage belt 4?,how do i find baggage belt 4,"[""how"", ""do"", ""i"", ""find"", ""baggage"", ""belt"", ""4""]","[""how"", ""find"", ""baggage"", ""belt"", ""4""]",,4,,,,,train
Q016,baggage_claim,text,Can you point me to the luggage collection zone?,Can you point me to the luggage collection zone?,can you point me to the luggage collection zone,"[""can"", ""you"", ""point"", ""me"", ""to"", ""the"", ""luggage"", ""collection"", ""zone""]","[""point"", ""luggage"", ""collection"", ""zone""]",,,,,,,val
Q017,baggage_claim,text,Where do I pick up my bags?,Where do I pick up my bags?,where do i pick up my bags,"[""where"", ""do"", ""i"", ""pick"", ""up"", ""my"", ""bags""]","[""where"", ""pick"", ""bags""]",,,,,,,train
Q018,baggage_claim,text,I need to find the baggage hall.,I need to find the baggage hall.,i need to find the baggage hall,"[""i"", ""need"", ""to"", ""find"", ""the"", ""baggage"", ""hall""]","[""need"", ""find"", ""baggage"", ""hall""]",,,,,,,train
Q019,check_in,text,Where is the check in desk for international flights?,Where is the check in desk for international flights?,where is the check in desk for international flights,"[""where"", ""is"", ""the"", ""check"", ""in"", ""desk"", ""for"", ""international"", ""flights""]","[""where"", ""check"", ""desk"", ""international"", ""flights""]",,,,,,,train
Q020,check_in,text,How do I find the Lufthansa check-in?,How do I find the Lufthansa check-in?,how do i find the lufthansa check-in,"[""how"", ""do"", ""i"", ""find"", ""the"", ""lufthansa"", ""check-in""]","[""how"", ""find"", ""lufthansa"", ""check-in""]",,,Check-In,,Lufthansa,,train
Q021,check_in,text,Is there a self-service check-in kiosk here?,Is there a self-service check-in kiosk here?,is there a self-service check-in kiosk here,"[""is"", ""there"", ""a"", ""self-service"", ""check-in"", ""kiosk"", ""here""]","[""self-service"", ""check-in"", ""kiosk""]",,,Check-In,,,,train
Q022,check_in,text,Where do I drop my bags for check-in?,Where do I drop my bags for check-in?,where do i drop my bags for check-in,"[""where"", ""do"", ""i"", ""drop"", ""my"", ""bags"", ""for"", ""check-in""]","[""where"", ""drop"", ""bags"", ""check-in""]",,,Check-In,,,,train
Q023,check_in,text,Which counter is for Emirates check-in?,Which counter is for Emirates check-in?,which counter is for emirates check-in,"[""which"", ""counter"", ""is"", ""for"", ""emirates"", ""check-in""]","[""counter"", ""emirates"", ""check-in""]",,,Check-In,,Emirates,,train
Q024,check_in,text,Can you direct me to the check-in area?,Can you direct me to the check-in area?,can you direct me to the check-in area,"[""can"", ""you"", ""direct"", ""me"", ""to"", ""the"", ""check-in"", ""area""]","[""direct"", ""check-in"", ""area""]",,,Check-In,,,,train
Q025,check_in,text,Are the check-in desks open for the 14:30 flight?,Are the check-in desks open for the 14:30 flight?,are the check-in desks open for the 14:30 flight,"[""are"", ""the"", ""check-in"", ""desks"", ""open"", ""for"", ""the"", ""14:30"", ""flight""]","[""check-in"", ""desks"", ""open"", ""14:30"", ""flight""]",,,Check-In,,,14:30,train
Q026,check_in,text,Where is the first class check-in?,Where is the first class check-in?,where is the first class check-in,"[""where"", ""is"", ""the"", ""first"", ""class"", ""check-in""]","[""where"", ""first"", ""class"", ""check-in""]",,,Check-In,,,,val
Q027,check_in,text,I need to check in my luggage.,I need to check in my luggage.,i need to check in my luggage,"[""i"", ""need"", ""to"", ""check"", ""in"", ""my"", ""luggage""]","[""need"", ""check"", ""luggage""]",,,,,,,train
Q028,lounge,text,Is there a lounge near terminal 2?,Is there a lounge near terminal 2?,is there a lounge near terminal 2,"[""is"", ""there"", ""a"", ""lounge"", ""near"", ""terminal"", ""2""]","[""lounge"", ""near"", ""terminal"", ""2""]",,2,Lounge,,,,train
Q029,lounge,text,Where is the British Airways lounge?,Where is the British Airways lounge?,where is the british airways lounge,"[""where"", ""is"", ""the"", ""british"", ""airways"", ""lounge""]","[""where"", ""british"", ""airways"", ""lounge""]",,,Lounge,,British Airways,,train
Q030,lounge,text,How do I get to the VIP lounge?,How do I get to the VIP lounge?,how do i get to the vip lounge,"[""how"", ""do"", ""i"", ""get"", ""to"", ""the"", ""vip"", ""lounge""]","[""how"", ""get"", ""vip"", ""lounge""]",,,Lounge,,,,train
Q031,lounge,text,Is the business lounge open right now?,Is the business lounge open right now?,is the business lounge open right now,"[""is"", ""the"", ""business"", ""lounge"", ""open"", ""right"", ""now""]","[""business"", ""lounge"", ""open"", ""right""]",,,Lounge,,,,train
Q032,lounge,text,Where can I find a priority pass lounge?,Where can I find a priority pass lounge?,where can i find a priority pass lounge,"[""where"", ""can"", ""i"", ""find"", ""a"", ""priority"", ""pass"", ""lounge""]","[""where"", ""find"", ""priority"", ""pass"", ""lounge""]",,,Lounge,,,,val
Q033,lounge,text,Can you direct me to the premium lounge?,Can you direct me to the premium lounge?,can you direct me to the premium lounge,"[""can"", ""you"", ""direct"", ""me"", ""to"", ""the"", ""premium"", ""lounge""]","[""direct"", ""premium"", ""lounge""]",,,Lounge,,,,train
Q034,lounge,text,Which floor is the executive lounge on?,Which floor is the executive lounge on?,which floor is the executive lounge on,"[""which"", ""floor"", ""is"", ""the"", ""executive"", ""lounge"", ""on""]","[""floor"", ""executive"", ""lounge""]",,,Lounge,,,,val
Q035,lounge,text,Are there any lounges in concourse C?,Are there any lounges in concourse C?,are there any lounges in concourse c,"[""are"", ""there"", ""any"", ""lounges"", ""in"", ""concourse"", ""c""]","[""lounges"", ""concourse"", ""c""]",,,Lounge,,,,train
Q036,lounge,text,How much does it cost to enter the lounge?,How much does it cost to enter the lounge?,how much does it cost to enter the lounge,"[""how"", ""much"", ""does"", ""it"", ""cost"", ""to"", ""enter"", ""the"", ""lounge""]","[""how"", ""much"", ""cost"", ""enter"", ""lounge""]",,,Lounge,,,,train
Q037,transport,text,Where can I find airport transport?,Where can I find airport transport?,where can i find airport transport,"[""where"", ""can"", ""i"", ""find"", ""airport"", ""transport""]","[""where"", ""find"", ""airport"", ""transport""]",,,Transport,,,,train
Q038,transport,text,How do I get to the taxi rank?,How do I get to the taxi rank?,how do i get to the taxi rank,"[""how"", ""do"", ""i"", ""get"", ""to"", ""the"", ""taxi"", ""rank""]","[""how"", ""get"", ""taxi"", ""rank""]",,,Taxi,,,,train
Q039,transport,text,Is there a train station connection here?,Is there a train station connection here?,is there a train station connection here,"[""is"", ""there"", ""a"", ""train"", ""station"", ""connection"", ""here""]","[""train"", ""station"", ""connection""]",,,,,,,train
Q040,transport,text,Where does the airport shuttle bus leave from?,Where does the airport shuttle bus leave from?,where does the airport shuttle bus leave from,"[""where"", ""does"", ""the"", ""airport"", ""shuttle"", ""bus"", ""leave"", ""from""]","[""where"", ""airport"", ""shuttle"", ""bus"", ""leave""]",,,Bus,,,,val
Q041,transport,text,Can you direct me to the car rental desks?,Can you direct me to the car rental desks?,can you direct me to the car rental desks,"[""can"", ""you"", ""direct"", ""me"", ""to"", ""the"", ""car"", ""rental"", ""desks""]","[""direct"", ""car"", ""rental"", ""desks""]",,,,,,,train
Q042,transport,text,Where is the pickup zone for Uber?,Where is the pickup zone for Uber?,where is the pickup zone for uber,"[""where"", ""is"", ""the"", ""pickup"", ""zone"", ""for"", ""uber""]","[""where"", ""pickup"", ""zone"", ""uber""]",,,,,,,train
Q043,transport,text,How do I reach the subway station?,How do I reach the subway station?,how do i reach the subway station,"[""how"", ""do"", ""i"", ""reach"", ""the"", ""subway"", ""station""]","[""how"", ""reach"", ""subway"", ""station""]",,,,,,,val
Q044,transport,text,Is the bus stop outside terminal 1?,Is the bus stop outside terminal 1?,is the bus stop outside terminal 1,"[""is"", ""the"", ""bus"", ""stop"", ""outside"", ""terminal"", ""1""]","[""bus"", ""stop"", ""outside"", ""terminal"", ""1""]",,1,Bus,,,,train
Q045,transport,text,Where can I catch a taxi?,Where can I catch a taxi?,where can i catch a taxi,"[""where"", ""can"", ""i"", ""catch"", ""a"", ""taxi""]","[""where"", ""catch"", ""taxi""]",,,Taxi,,,,train
Q046,information_desk,text,Where is the nearest information desk?,Where is the nearest information desk?,where is the nearest information desk,"[""where"", ""is"", ""the"", ""nearest"", ""information"", ""desk""]","[""where"", ""nearest"", ""information"", ""desk""]",,,Information Desk,,,,train
Q047,information_desk,text,"I need help, where is the customer service counter?","I need help, where is the customer service counter?",i need help where is the customer service counter,"[""i"", ""need"", ""help"", ""where"", ""is"", ""the"", ""customer"", ""service"", ""counter""]","[""need"", ""help"", ""where"", ""customer"", ""service"", ""counter""]",,,,,,,train
Q048,information_desk,text,Is there a help desk nearby?,Is there a help desk nearby?,is there a help desk nearby,"[""is"", ""there"", ""a"", ""help"", ""desk"", ""nearby""]","[""help"", ""desk"", ""nearby""]",,,,,,,val
Q049,information_desk,text,Where can I ask a question about my flight?,Where can I ask a question about my flight?,where can i ask a question about my flight,"[""where"", ""can"", ""i"", ""ask"", ""a"", ""question"", ""about"", ""my"", ""flight""]","[""where"", ""ask"", ""question"", ""flight""]",,,,,,,val
Q050,information_desk,text,Can you show me to the tourist information center?,Can you show me to the tourist information center?,can you show me to the tourist information center,"[""can"", ""you"", ""show"", ""me"", ""to"", ""the"", ""tourist"", ""information"", ""center""]","[""show"", ""tourist"", ""information"", ""center""]",,,,,,,train
Q051,information_desk,text,Where is the airport assistance desk?,Where is the airport assistance desk?,where is the airport assistance desk,"[""where"", ""is"", ""the"", ""airport"", ""assistance"", ""desk""]","[""where"", ""airport"", ""assistance"", ""desk""]",,,,,,,train
Q052,information_desk,text,How do I find the lost and found office?,How do I find the lost and found office?,how do i find the lost and found office,"[""how"", ""do"", ""i"", ""find"", ""the"", ""lost"", ""and"", ""found"", ""office""]","[""how"", ""find"", ""lost"", ""found"", ""office""]",,,,,,,train
Q053,information_desk,text,Is there a staff member I can speak to?,Is there a staff member I can speak to?,is there a staff member i can speak to,"[""is"", ""there"", ""a"", ""staff"", ""member"", ""i"", ""can"", ""speak"", ""to""]","[""staff"", ""member"", ""speak""]",,,,,,,train
Q054,information_desk,text,Where is the central information point?,Where is the central information point?,where is the central information point,"[""where"", ""is"", ""the"", ""central"", ""information"", ""point""]","[""where"", ""central"", ""information"", ""point""]",,,,,,,train
Q055,flight_delay,text,Is my flight delayed?,Is my flight delayed?,is my flight delayed,"[""is"", ""my"", ""flight"", ""delayed""]","[""flight"", ""delayed""]",,,,,,,train
Q056,flight_delay,text,Has the 08:30 flight to Berlin been delayed?,Has the 08:30 flight to Berlin been delayed?,has the 08:30 flight to berlin been delayed,"[""has"", ""the"", ""08:30"", ""flight"", ""to"", ""berlin"", ""been"", ""delayed""]","[""08:30"", ""flight"", ""berlin"", ""delayed""]",,,,,,08:30,val
Q057,flight_delay,text,When is the new departure time for my delayed flight?,When is the new departure time for my delayed flight?,when is the new departure time for my delayed flight,"[""when"", ""is"", ""the"", ""new"", ""departure"", ""time"", ""for"", ""my"", ""delayed"", ""flight""]","[""when"", ""new"", ""departure"", ""time"", ""delayed"", ""flight""]",,,,,,,train
Q058,flight_delay,text,Why is my flight delayed?,Why is my flight delayed?,why is my flight delayed,"[""why"", ""is"", ""my"", ""flight"", ""delayed""]","[""flight"", ""delayed""]",,,,,,,train
Q059,flight_delay,text,Can you check if my flight is on time?,Can you check if my flight is on time?,can you check if my flight is on time,"[""can"", ""you"", ""check"", ""if"", ""my"", ""flight"", ""is"", ""on"", ""time""]","[""check"", ""flight"", ""time""]",,,,,,,train
Q060,flight_delay,text,How long is the delay for flight BA123?,How long is the delay for flight BA123?,how long is the delay for flight ba123,"[""how"", ""long"", ""is"", ""the"", ""delay"", ""for"", ""flight"", ""ba123""]","[""how"", ""long"", ""delay"", ""flight"", ""ba123""]",,,,,,,train
Q061,flight_delay,text,Has the boarding time changed due to the delay?,Has the boarding time changed due to the delay?,has the boarding time changed due to the delay,"[""has"", ""the"", ""boarding"", ""time"", ""changed"", ""due"", ""to"", ""the"", ""delay""]","[""boarding"", ""time"", ""changed"", ""due"", ""delay""]",,,,,,,train
Q062,flight_delay,text,Where can I see the delayed flight board?,Where can I see the delayed flight board?,where can i see the delayed flight board,"[""where"", ""can"", ""i"", ""see"", ""the"", ""delayed"", ""flight"", ""board""]","[""where"", ""see"", ""delayed"", ""flight"", ""board""]",,,,,,,val
Q063,flight_delay,text,Is the flight to Paris cancelled or delayed?,Is the flight to Paris cancelled or delayed?,is the flight to paris cancelled or delayed,"[""is"", ""the"", ""flight"", ""to"", ""paris"", ""cancelled"", ""or"", ""delayed""]","[""flight"", ""paris"", ""cancelled"", ""delayed""]",,,,,,,train
Q064,security,text,Where is the security checkpoint?,Where is the security checkpoint?,where is the security checkpoint,"[""where"", ""is"", ""the"", ""security"", ""checkpoint""]","[""where"", ""security"", ""checkpoint""]",,,Security,,,,train
Q065,security,text,How long is the queue for security?,How long is the queue for security?,how long is the queue for security,"[""how"", ""long"", ""is"", ""the"", ""queue"", ""for"", ""security""]","[""how"", ""long"", ""queue"", ""security""]",,,Security,,,,val
Q066,security,text,Is there a fast track security lane?,Is there a fast track security lane?,is there a fast track security lane,"[""is"", ""there"", ""a"", ""fast"", ""track"", ""security"", ""lane""]","[""fast"", ""track"", ""security"", ""lane""]",,,Security,,,,train
Q067,security,text,Where do I go for passport control?,Where do I go for passport control?,where do i go for passport control,"[""where"", ""do"", ""i"", ""go"", ""for"", ""passport"", ""control""]","[""where"", ""go"", ""passport"", ""control""]",,,,,,,train
Q068,security,text,Which way to the domestic security screening?,Which way to the domestic security screening?,which way to the domestic security screening,"[""which"", ""way"", ""to"", ""the"", ""domestic"", ""security"", ""screening""]","[""way"", ""domestic"", ""security"", ""screening""]",,,Security,,,,train
Q069,security,text,Do I need to take my laptop out at security?,Do I need to take my laptop out at security?,do i need to take my laptop out at security,"[""do"", ""i"", ""need"", ""to"", ""take"", ""my"", ""laptop"", ""out"", ""at"", ""security""]","[""need"", ""take"", ""laptop"", ""security""]",,,Security,,,,train
Q070,security,text,Where is the security control for terminal 2?,Where is the security control for terminal 2?,where is the security control for terminal 2,"[""where"", ""is"", ""the"", ""security"", ""control"", ""for"", ""terminal"", ""2""]","[""where"", ""security"", ""control"", ""terminal"", ""2""]",,2,Security,,,,train
Q071,security,text,Can you direct me to customs?,Can you direct me to customs?,can you direct me to customs,"[""can"", ""you"", ""direct"", ""me"", ""to"", ""customs""]","[""direct"", ""customs""]",,,,,,,train
Q072,security,text,How do I reach the security gates?,How do I reach the security gates?,how do i reach the security gates,"[""how"", ""do"", ""i"", ""reach"", ""the"", ""security"", ""gates""]","[""how"", ""reach"", ""security"", ""gates""]",,,Security,,,,val
Q002,gate,voice,How can I get to gate A7?,How can I get to gate A7?,how can i get to gate a7,"[""how"", ""can"", ""i"", ""get"", ""to"", ""gate"", ""a7""]","[""how"", ""get"", ""gate"", ""a7""]",A7,,,,,,train
Q003,gate,voice,Which terminal has gate C15?,which terminal has gate C15.,which terminal has gate c15,"[""which"", ""terminal"", ""has"", ""gate"", ""c15""]","[""terminal"", ""gate"", ""c15""]",C15,,,,,,train
Q007,gate,voice,How do I reach gate D10?,How do I reach gate D10?,how do i reach gate d10,"[""how"", ""do"", ""i"", ""reach"", ""gate"", ""d10""]","[""how"", ""reach"", ""gate"", ""d10""]",D10,,,,,,train
Q008,gate,voice,Where is my departure gate B6?,Where is my departure gate B6?,where is my departure gate b6,"[""where"", ""is"", ""my"", ""departure"", ""gate"", ""b6""]","[""where"", ""departure"", ""gate"", ""b6""]",B6,,,,,,train
Q010,baggage_claim,voice,How do I get to baggage claim?,How do I get to baggage claim?,how do i get to baggage claim,"[""how"", ""do"", ""i"", ""get"", ""to"", ""baggage"", ""claim""]","[""how"", ""get"", ""baggage"", ""claim""]",,,Baggage Claim,,,,train
Q011,baggage_claim,voice,Where can I collect my luggage?,Where can I collect my luggage?,where can i collect my luggage,"[""where"", ""can"", ""i"", ""collect"", ""my"", ""luggage""]","[""where"", ""collect"", ""luggage""]",,,,,,,val
Q015,baggage_claim,voice,How do I find baggage belt 4?,How do I find baggage belt 4?,how do i find baggage belt 4,"[""how"", ""do"", ""i"", ""find"", ""baggage"", ""belt"", ""4""]","[""how"", ""find"", ""baggage"", ""belt"", ""4""]",,4,,,,,train
Q017,baggage_claim,voice,Where do I pick up my bags?,Where do I pick up my bag?,where do i pick up my bag,"[""where"", ""do"", ""i"", ""pick"", ""up"", ""my"", ""bag""]","[""where"", ""pick"", ""bag""]",,,,,,,train
Q019,check_in,voice,Where is the check in desk for international flights?,Where is the check-in desk for international flight?,where is the check-in desk for international flight,"[""where"", ""is"", ""the"", ""check-in"", ""desk"", ""for"", ""international"", ""flight""]","[""where"", ""check-in"", ""desk"", ""international"", ""flight""]",,,Check-In,,,,train
Q020,check_in,voice,How do I find the Lufthansa check-in?,How do I find the Lufthansa check-in?,how do i find the lufthansa check-in,"[""how"", ""do"", ""i"", ""find"", ""the"", ""lufthansa"", ""check-in""]","[""how"", ""find"", ""lufthansa"", ""check-in""]",,,Check-In,,Lufthansa,,train
Q022,check_in,voice,Where do I drop my bags for check-in?,Where do I drop my bags for check-in?,where do i drop my bags for check-in,"[""where"", ""do"", ""i"", ""drop"", ""my"", ""bags"", ""for"", ""check-in""]","[""where"", ""drop"", ""bags"", ""check-in""]",,,Check-In,,,,train
Q024,check_in,voice,Can you direct me to the check-in area?,Can you direct me to the check in area?,can you direct me to the check in area,"[""can"", ""you"", ""direct"", ""me"", ""to"", ""the"", ""check"", ""in"", ""area""]","[""direct"", ""check"", ""area""]",,,,,,,train
Q030,lounge,voice,How do I get to the VIP lounge?,How do I get to the VIP lounge?,how do i get to the vip lounge,"[""how"", ""do"", ""i"", ""get"", ""to"", ""the"", ""vip"", ""lounge""]","[""how"", ""get"", ""vip"", ""lounge""]",,,Lounge,,,,train
Q033,lounge,voice,Can you direct me to the premium lounge?,Can you direct me to the premium lounge?,can you direct me to the premium lounge,"[""can"", ""you"", ""direct"", ""me"", ""to"", ""the"", ""premium"", ""lounge""]","[""direct"", ""premium"", ""lounge""]",,,Lounge,,,,train
Q035,lounge,voice,Are there any lounges in concourse C?,Are there any lounges in Concourse C?,are there any lounges in concourse c,"[""are"", ""there"", ""any"", ""lounges"", ""in"", ""concourse"", ""c""]","[""lounges"", ""concourse"", ""c""]",,,Lounge,,,,train
Q036,lounge,voice,How much does it cost to enter the lounge?,How much does it cost to enter the lounge?,how much does it cost to enter the lounge,"[""how"", ""much"", ""does"", ""it"", ""cost"", ""to"", ""enter"", ""the"", ""lounge""]","[""how"", ""much"", ""cost"", ""enter"", ""lounge""]",,,Lounge,,,,train
Q038,transport,voice,How do I get to the taxi rank?,How do I get to the taxi rank?,how do i get to the taxi rank,"[""how"", ""do"", ""i"", ""get"", ""to"", ""the"", ""taxi"", ""rank""]","[""how"", ""get"", ""taxi"", ""rank""]",,,Taxi,,,,train
Q042,transport,voice,Where is the pickup zone for Uber?,Where is the pickup zone for Uber?,where is the pickup zone for uber,"[""where"", ""is"", ""the"", ""pickup"", ""zone"", ""for"", ""uber""]","[""where"", ""pickup"", ""zone"", ""uber""]",,,,,,,train
Q044,transport,voice,Is the bus stop outside terminal 1?,is the bus stop outside terminal one.,is the bus stop outside terminal one,"[""is"", ""the"", ""bus"", ""stop"", ""outside"", ""terminal"", ""one""]","[""bus"", ""stop"", ""outside"", ""terminal"", ""one""]",,,Bus,,,,train
Q045,transport,voice,Where can I catch a taxi?,Where can I catch a taxi?,where can i catch a taxi,"[""where"", ""can"", ""i"", ""catch"", ""a"", ""taxi""]","[""where"", ""catch"", ""taxi""]",,,Taxi,,,,train
Q047,information_desk,voice,"I need help, where is the customer service counter?",I need help. Where is the customer service counter?,i need help where is the customer service counter,"[""i"", ""need"", ""help"", ""where"", ""is"", ""the"", ""customer"", ""service"", ""counter""]","[""need"", ""help"", ""where"", ""customer"", ""service"", ""counter""]",,,,,,,train
Q050,information_desk,voice,Can you show me to the tourist information center?,Can you show me to the Taurus Information Center?,can you show me to the taurus information center,"[""can"", ""you"", ""show"", ""me"", ""to"", ""the"", ""taurus"", ""information"", ""center""]","[""show"", ""taurus"", ""information"", ""center""]",,,,,,,train
Q051,information_desk,voice,Where is the airport assistance desk?,Where is the airport assistance desk?,where is the airport assistance desk,"[""where"", ""is"", ""the"", ""airport"", ""assistance"", ""desk""]","[""where"", ""airport"", ""assistance"", ""desk""]",,,,,,,train
Q054,information_desk,voice,Where is the central information point?,Where is the central information point?,where is the central information point,"[""where"", ""is"", ""the"", ""central"", ""information"", ""point""]","[""where"", ""central"", ""information"", ""point""]",,,,,,,train
Q055,flight_delay,voice,Is my flight delayed?,Is my flight delayed?,is my flight delayed,"[""is"", ""my"", ""flight"", ""delayed""]","[""flight"", ""delayed""]",,,,,,,train
Q057,flight_delay,voice,When is the new departure time for my delayed flight?,When is the new departure time for my delayed flight?,when is the new departure time for my delayed flight,"[""when"", ""is"", ""the"", ""new"", ""departure"", ""time"", ""for"", ""my"", ""delayed"", ""flight""]","[""when"", ""new"", ""departure"", ""time"", ""delayed"", ""flight""]",,,,,,,train
Q061,flight_delay,voice,Has the boarding time changed due to the delay?,has the boarding time changed due to the delay.,has the boarding time changed due to the delay,"[""has"", ""the"", ""boarding"", ""time"", ""changed"", ""due"", ""to"", ""the"", ""delay""]","[""boarding"", ""time"", ""changed"", ""due"", ""delay""]",,,,,,,train
Q063,flight_delay,voice,Is the flight to Paris cancelled or delayed?,is the flight to Paris cancelled or delayed.,is the flight to paris cancelled or delayed,"[""is"", ""the"", ""flight"", ""to"", ""paris"", ""cancelled"", ""or"", ""delayed""]","[""flight"", ""paris"", ""cancelled"", ""delayed""]",,,,,,,train
Q064,security,voice,Where is the security checkpoint?,Where is the security checkpoint?,where is the security checkpoint,"[""where"", ""is"", ""the"", ""security"", ""checkpoint""]","[""where"", ""security"", ""checkpoint""]",,,Security,,,,train
Q066,security,voice,Is there a fast track security lane?,Is there a fast track security lane?,is there a fast track security lane,"[""is"", ""there"", ""a"", ""fast"", ""track"", ""security"", ""lane""]","[""fast"", ""track"", ""security"", ""lane""]",,,Security,,,,train
Q069,security,voice,Do I need to take my laptop out at security?,Do I need to take my laptop out at security?,do i need to take my laptop out at security,"[""do"", ""i"", ""need"", ""to"", ""take"", ""my"", ""laptop"", ""out"", ""at"", ""security""]","[""need"", ""take"", ""laptop"", ""security""]",,,Security,,,,train
Q070,security,voice,Where is the security control for terminal 2?,Where is the security control for Terminal 2?,where is the security control for terminal 2,"[""where"", ""is"", ""the"", ""security"", ""control"", ""for"", ""terminal"", ""2""]","[""where"", ""security"", ""control"", ""terminal"", ""2""]",,2,Security,,,,train
