query_id,query,intent,source,tokens,token_count,clean_tokens,gate_number,terminal_number,time,airline,service_name,location,has_audio,audio_file
Q037,Where can I find airport transport?,transport,synthetic,"['where', 'can', 'i', 'find', 'airport', 'transport', '?']",7,"['find', 'airport', 'transport']",,,,,transport,,no,
Q038,How do I get to the taxi rank?,transport,synthetic,"['how', 'do', 'i', 'get', 'to', 'the', 'taxi', 'rank', '?']",9,"['get', 'taxi', 'rank']",,,,,,,yes,transport_Q038.wav
Q039,Is there a train station connection here?,transport,synthetic,"['is', 'there', 'a', 'train', 'station', 'connection', 'here', '?']",8,"['train', 'station', 'connection']",,,,,,,no,
Q040,Where does the airport shuttle bus leave from?,transport,synthetic,"['where', 'does', 'the', 'airport', 'shuttle', 'bus', 'leave', 'from', '?']",9,"['airport', 'shuttle', 'bus', 'leave']",,,,,,,no,
Q041,Can you direct me to the car rental desks?,transport,synthetic,"['can', 'you', 'direct', 'me', 'to', 'the', 'car', 'rental', 'desks', '?']",10,"['direct', 'car', 'rental', 'desks']",,,,,,,no,
Q042,Where is the pickup zone for Uber?,transport,synthetic,"['where', 'is', 'the', 'pickup', 'zone', 'for', 'uber', '?']",8,"['pickup', 'zone', 'uber']",,,,,,,yes,transport_Q042.wav
Q043,How do I reach the subway station?,transport,synthetic,"['how', 'do', 'i', 'reach', 'the', 'subway', 'station', '?']",8,"['reach', 'subway', 'station']",,,,,,,no,
Q044,Is the bus stop outside terminal 1?,transport,synthetic,"['is', 'the', 'bus', 'stop', 'outside', 'terminal', '1', '?']",8,"['bus', 'stop', 'outside', 'terminal', '1']",,1,,,,,yes,transport_Q044.wav
Q045,Where can I catch a taxi?,transport,synthetic,"['where', 'can', 'i', 'catch', 'a', 'taxi', '?']",7,"['catch', 'taxi']",,,,,,,yes,transport_Q045.wav
Q046,Where is the nearest information desk?,information_desk,synthetic,"['where', 'is', 'the', 'nearest', 'information', 'desk', '?']",7,"['nearest', 'information', 'desk']",,,,,information desk,,no,
Q047,"I need help, where is the customer service counter?",information_desk,synthetic,"['i', 'need', 'help', ',', 'where', 'is', 'the', 'customer', 'service', 'counter', '?']",11,"['need', 'help', 'customer', 'service', 'counter']",,,,,customer service,,yes,information_desk_Q047.wav
Q048,Is there a help desk nearby?,information_desk,synthetic,"['is', 'there', 'a', 'help', 'desk', 'nearby', '?']",7,"['help', 'desk', 'nearby']",,,,,,,no,
Q049,Where can I ask a question about my flight?,information_desk,synthetic,"['where', 'can', 'i', 'ask', 'a', 'question', 'about', 'my', 'flight', '?']",10,"['ask', 'question', 'flight']",,,,,,,no,
Q050,Can you show me to the tourist information center?,information_desk,synthetic,"['can', 'you', 'show', 'me', 'to', 'the', 'tourist', 'information', 'center', '?']",10,"['show', 'tourist', 'information', 'center']",,,,,,,yes,information_desk_Q050.wav
Q051,Where is the airport assistance desk?,information_desk,synthetic,"['where', 'is', 'the', 'airport', 'assistance', 'desk', '?']",7,"['airport', 'assistance', 'desk']",,,,,,,yes,information_desk_Q051.wav
Q052,How do I find the lost and found office?,information_desk,synthetic,"['how', 'do', 'i', 'find', 'the', 'lost', 'and', 'found', 'office', '?']",10,"['find', 'lost', 'found', 'office']",,,,,lost and found,,no,
Q053,Is there a staff member I can speak to?,information_desk,synthetic,"['is', 'there', 'a', 'staff', 'member', 'i', 'can', 'speak', 'to', '?']",10,"['staff', 'member', 'speak']",,,,,,,no,
Q054,Where is the central information point?,information_desk,synthetic,"['where', 'is', 'the', 'central', 'information', 'point', '?']",7,"['central', 'information', 'point']",,,,,,,yes,information_desk_Q054.wav
Q055,Is my flight delayed?,flight_delay,synthetic,"['is', 'my', 'flight', 'delayed', '?']",5,"['flight', 'delayed']",,,,,,,yes,flight_delay_Q055.wav
Q056,Has the 08:30 flight to Berlin been delayed?,flight_delay,synthetic,"['has', 'the', '08:30', 'flight', 'to', 'berlin', 'been', 'delayed', '?']",9,"['08:30', 'flight', 'berlin', 'delayed']",,,08:30,,,,no,
Q057,When is the new departure time for my delayed flight?,flight_delay,synthetic,"['when', 'is', 'the', 'new', 'departure', 'time', 'for', 'my', 'delayed', 'flight', '?']",11,"['new', 'departure', 'time', 'delayed', 'flight']",,,,,,,yes,flight_delay_Q057.wav
Q058,Why is my flight delayed?,flight_delay,synthetic,"['why', 'is', 'my', 'flight', 'delayed', '?']",6,"['flight', 'delayed']",,,,,,,no,
Q059,Can you check if my flight is on time?,flight_delay,synthetic,"['can', 'you', 'check', 'if', 'my', 'flight', 'is', 'on', 'time', '?']",10,"['check', 'flight', 'time']",,,,,,,no,
Q060,How long is the delay for flight BA123?,flight_delay,synthetic,"['how', 'long', 'is', 'the', 'delay', 'for', 'flight', 'ba123', '?']",9,"['long', 'delay', 'flight', 'ba123']",,,,,,,no,
Q061,Has the boarding time changed due to the delay?,flight_delay,synthetic,"['has', 'the', 'boarding', 'time', 'changed', 'due', 'to', 'the', 'delay', '?']",10,"['boarding', 'time', 'changed', 'due', 'delay']",,,,,,,yes,flight_delay_Q061.wav
Q062,Where can I see the delayed flight board?,flight_delay,synthetic,"['where', 'can', 'i', 'see', 'the', 'delayed', 'flight', 'board', '?']",9,"['see', 'delayed', 'flight', 'board']",,,,,,,no,
Q063,Is the flight to Paris cancelled or delayed?,flight_delay,synthetic,"['is', 'the', 'flight', 'to', 'paris', 'cancelled', 'or', 'delayed', '?']",9,"['flight', 'paris', 'cancelled', 'delayed']",,,,,,,yes,flight_delay_Q063.wav
Q064,Where is the security checkpoint?,security,synthetic,"['where', 'is', 'the', 'security', 'checkpoint', '?']",6,"['security', 'checkpoint']",,,,,security,,yes,security_Q064.wav
Q065,How long is the queue for security?,security,synthetic,"['how', 'long', 'is', 'the', 'queue', 'for', 'security', '?']",8,"['long', 'queue', 'security']",,,,,security,,no,
Q066,Is there a fast track security lane?,security,synthetic,"['is', 'there', 'a', 'fast', 'track', 'security', 'lane', '?']",8,"['fast', 'track', 'security', 'lane']",,,,,security,,yes,security_Q066.wav
Q067,Where do I go for passport control?,security,synthetic,"['where', 'do', 'i', 'go', 'for', 'passport', 'control', '?']",8,"['go', 'passport', 'control']",,,,,,,no,
Q068,Which way to the domestic security screening?,security,synthetic,"['which', 'way', 'to', 'the', 'domestic', 'security', 'screening', '?']",8,"['way', 'domestic', 'security', 'screening']",,,,,security,,no,
Q069,Do I need to take my laptop out at security?,security,synthetic,"['do', 'i', 'need', 'to', 'take', 'my', 'laptop', 'out', 'at', 'security', '?']",11,"['need', 'take', 'laptop', 'security']",,,,,security,,yes,security_Q069.wav
Q070,Where is the security control for terminal 2?,security,synthetic,"['where', 'is', 'the', 'security', 'control', 'for', 'terminal', '2', '?']",9,"['security', 'control', 'terminal', '2']",,2,,,security,,yes,security_Q070.wav
Q071,Can you direct me to customs?,security,synthetic,"['can', 'you', 'direct', 'me', 'to', 'customs', '?']",7,"['direct', 'customs']",,,,,,,no,
Q072,How do I reach the security gates?,security,synthetic,"['how', 'do', 'i', 'reach', 'the', 'security', 'gates', '?']",8,"['reach', 'security', 'gates']",,,,,security,,no,
